CTSCode,IndicatorName,Unit,Source,CTSFullDescriptor
SYN_068,Surface Temperature Change Variant 2 Variant 6 Variant 9 Variant 68,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_069,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 23 Variant 44 Variant 69,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_070,Surface Temperature Change Variant 3 Variant 10 Variant 17 Variant 49 Variant 70,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_071,Surface Temperature Change Variant 2 Variant 5 Variant 25 Variant 34 Variant 71,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_072,Surface Temperature Change Variant 2 Variant 6 Variant 18 Variant 27 Variant 59 Variant 72,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_073,Surface Temperature Change Variant 2 Variant 5 Variant 37 Variant 73,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_074,Surface Temperature Change Variant 3 Variant 10 Variant 35 Variant 74,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_075,Surface Temperature Change Variant 2 Variant 6 Variant 18 Variant 22 Variant 75,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_076,Surface Temperature Change Variant 2 Variant 6 Variant 18 Variant 27 Variant 76,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_077,Surface Temperature Change Variant 3 Variant 12 Variant 63 Variant 77,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_078,Surface Temperature Change Variant 2 Variant 15 Variant 78,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_079,Surface Temperature Change Variant 2 Variant 6 Variant 18 Variant 27 Variant 79,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_080,Surface Temperature Change Variant 3 Variant 10 Variant 17 Variant 80,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_081,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 23 Variant 81,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_082,Surface Temperature Change Variant 2 Variant 15 Variant 21 Variant 38 Variant 82,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_083,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 65 Variant 83,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_084,Surface Temperature Change Variant 2 Variant 6 Variant 18 Variant 22 Variant 84,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_085,Surface Temperature Change Variant 2 Variant 6 Variant 14 Variant 85,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_086,Surface Temperature Change Variant 2 Variant 15 Variant 21 Variant 86,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_087,Surface Temperature Change Variant 3 Variant 87,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_088,Surface Temperature Change Variant 2 Variant 5 Variant 88,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_089,Surface Temperature Change Variant 2 Variant 15 Variant 21 Variant 89,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_090,Surface Temperature Change Variant 2 Variant 15 Variant 21 Variant 89 Variant 90,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_091,Surface Temperature Change Variant 2 Variant 55 Variant 91,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_092,Surface Temperature Change Variant 2 Variant 55 Variant 91 Variant 92,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_093,Surface Temperature Change Variant 3 Variant 12 Variant 63 Variant 93,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_094,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 33 Variant 94,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_095,Surface Temperature Change Variant 2 Variant 6 Variant 9 Variant 24 Variant 41 Variant 95,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_096,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 54 Variant 96,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_097,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 65 Variant 83 Variant 97,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_098,Surface Temperature Change Variant 2 Variant 5 Variant 11 Variant 98,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_099,Surface Temperature Change Variant 2 Variant 6 Variant 14 Variant 99,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_100,Surface Temperature Change Variant 3 Variant 10 Variant 17 Variant 62 Variant 100,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
